"time","open","high","low","close","volume","volumeq"
"2020-09-14 21:00:00+00",10665,10713.1,10656.39,10683.99,1805.96,19301938
"2020-09-14 20:00:00+00",10674.98,10692.29,10653.42,10665,1484.13,15843366
"2020-09-14 19:00:00+00",10683.72,10695,10640,10674.98,2003.24,21381252
"2020-09-14 18:00:00+00",10725.2,10739.11,10669.74,10683.72,2444.04,26123672
"2020-09-14 17:00:00+00",10698.03,10750,10652.87,10725.2,4931.82,52756996
"2020-09-14 16:00:00+00",10631.06,10706.91,10631.06,10698.03,4810.39,51368476
"2020-09-14 15:00:00+00",10643.64,10688,10595.57,10631.06,4982.57,53015832
"2020-09-14 14:00:00+00",10504.26,10665.46,10504.26,10643.64,8730.68,9.250351E+7
"2020-09-14 13:00:00+00",10469.82,10519,10450.31,10504.26,3959.14,41489132
"2020-09-14 12:00:00+00",10416.06,10479,10396.89,10469.82,3525.03,3.682032E+7
"2020-09-14 11:00:00+00",10366.97,10432.94,10365.01,10416.06,2605.74,27085974
"2020-09-14 10:00:00+00",10359.61,10369.26,10323,10366.97,2301.66,2.381822E+7
"2020-09-14 09:00:00+00",10399.32,10458.16,10212.34,10359.61,5089.74,52864996
"2020-09-14 08:00:00+00",10359.74,10404,10347.71,10399.32,2064.43,2.140861E+7
"2020-09-14 07:00:00+00",10337.75,10368,10333.21,10359.74,1899.52,19669222
"2020-09-14 06:00:00+00",10344.96,10355.61,10316.18,10337.75,1674.26,1.730449E+7
"2020-09-14 05:00:00+00",10348.14,10353.87,10316.29,10344.96,1472.23,15213651
"2020-09-14 04:00:00+00",10348.7,10363.17,10331.3,10348.14,1285.52,13305595
"2020-09-14 03:00:00+00",10324.2,10371.03,10324.2,10348.7,1931.19,19991044
"2020-09-14 02:00:00+00",10273.28,10324.21,10273.28,10324.2,1112.24,11455104
"2020-09-14 01:00:00+00",10332.83,10334.19,10240.34,10273.28,1843.16,18964256
"2020-09-14 00:00:00+00",10306.66,10332.84,10296.77,10332.83,1338.12,13802285
"2020-09-13 23:00:00+00",10296.87,10316.18,10292.44,10306.66,901.62,9290889
"2020-09-13 22:00:00+00",10312.18,10321,10286.77,10296.87,821.15,8463355
"2020-09-13 21:00:00+00",10309.05,10315,10284.74,10312.18,1120.9,11545335
"2020-09-13 20:00:00+00",10257.34,10323.67,10247.34,10309.05,1499.15,15429077
"2020-09-13 19:00:00+00",10275.01,10282.27,10243.47,10257.34,1115.53,11452164
"2020-09-13 18:00:00+00",10257.77,10284.02,10212.51,10275.01,2144.27,2.19652E+7
"2020-09-13 17:00:00+00",10280.14,10296.79,10200,10257.77,3730.16,38250376
"2020-09-13 16:00:00+00",10324.78,10342,10272.44,10280.14,1712.57,17650464
"2020-09-13 15:00:00+00",10322.73,10341.82,10303.33,10324.78,1618.65,16701864
"2020-09-13 14:00:00+00",10290.05,10342.84,10258,10322.73,2489.82,25670738
"2020-09-13 13:00:00+00",10324.89,10352.21,10285.73,10290.05,2829.31,29213692
"2020-09-13 12:00:00+00",10452.37,10471.66,10303.28,10324.89,4085.39,42384448
"2020-09-13 11:00:00+00",10504.01,10504.02,10438,10452.37,2534.02,2.651357E+7
"2020-09-13 10:00:00+00",10539.42,10549.67,10471,10504.01,2017.36,21219836
"2020-09-13 09:00:00+00",10542.27,10560,10525.93,10539.42,1828.81,19280376
"2020-09-13 08:00:00+00",10523.53,10556.96,10520,10542.27,1508.95,15903527
"2020-09-13 07:00:00+00",10532.76,10548.75,10520,10523.53,1082.43,11401257
"2020-09-13 06:00:00+00",10539.33,10545.72,10520.74,10532.76,1163.4,12252581
"2020-09-13 05:00:00+00",10556.26,10580.11,10526,10539.33,1749.01,18435032
"2020-09-13 04:00:00+00",10428.11,10559.12,10427.76,10556.26,3034.31,3.189003E+7
"2020-09-13 03:00:00+00",10421.94,10445.98,10418.22,10428.11,870.61,9.08383E+6
"2020-09-13 02:00:00+00",10430.25,10434.1,10400.04,10421.94,1399.54,14581985
"2020-09-13 01:00:00+00",10440.92,10448.9,10412.8,10430.25,1242.53,12956695
"2020-09-13 00:00:00+00",10434.97,10449.01,10412,10440.92,1152.49,12020071
"2020-09-12 23:00:00+00",10449.99,10455.71,10410,10434.97,1108.67,1.156235E+7
"2020-09-12 22:00:00+00",10438.32,10461.88,10408,10449.99,1142.09,11929754
"2020-09-12 21:00:00+00",10461.39,10473.33,10427.68,10438.32,1519.15,15876829
"2020-09-12 20:00:00+00",10451.99,10467.13,10425.81,10461.39,1798.35,18792816
"2020-09-12 19:00:00+00",10377.15,10477.97,10376.36,10451.99,3575.99,37315192
"2020-09-12 18:00:00+00",10371.39,10378.96,10353.84,10377.15,1531.22,15874407
"2020-09-12 17:00:00+00",10359.99,10376.05,10348.89,10371.39,1211.69,12558986
"2020-09-12 16:00:00+00",10347.78,10380,10338.84,10359.99,2126.79,22041948
"2020-09-12 15:00:00+00",10294.01,10355,10275.04,10347.78,1911.67,19744798
"2020-09-12 14:00:00+00",10319.74,10327.73,10269.25,10294.01,2094.24,21564304
"2020-09-12 13:00:00+00",10341.59,10341.59,10306.25,10319.74,1474.83,15222846
"2020-09-12 12:00:00+00",10340.49,10346.95,10324.19,10341.59,1689.96,1.747048E+7
"2020-09-12 11:00:00+00",10354.29,10359.48,10331.44,10340.49,1219.48,12619331
"2020-09-12 10:00:00+00",10333.19,10356.8,10325,10354.29,1200.13,12412714
"2020-09-12 09:00:00+00",10343.98,10343.98,10320.18,10333.19,1403.59,14498738
